City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,constitucion,40,MX,1555801817,3,23.99,-104.67,86.0,19.46
161,salinopolis,100,BR,1555802314,80,-0.61,-47.36,82.09,16.4
162,moron,84,VE,1555802667,89,10.49,-68.2,75.66,4.05
163,yellowknife,75,CA,1555797600,63,62.45,-114.38,30.2,3.36
164,grand gaube,11,MU,1555802043,85,-20.01,57.66,79.0,5.99
165,saint-philippe,90,CA,1555802288,93,45.36,-73.48,46.4,12.75
166,buala,99,SB,1555802667,74,-8.15,159.59,83.24,7.9
167,mama,5,MX,1555802179,36,20.48,-89.36,80.6,11.41
168,flinders,83,AU,1555802270,100,-34.58,150.85,73.0,4.92
169,maamba,1,ZM,1555802667,73,-17.36,27.22,65.92,3.29
170,berlevag,0,NO,1555797000,82,70.86,29.09,42.8,17.22
171,foumban,27,CM,1555802667,79,5.73,10.9,66.93,3.31
172,ouargaye,53,BF,1555802668,34,11.5,0.06,96.56,9.89
173,cardston,90,CA,1555801466,81,49.2,-113.32,50.0,6.93
174,buluang,40,PH,1555797600,88,10.47,123.98,77.0,3.36
175,brae,100,GB,1555798800,87,60.4,-1.35,48.2,9.17
176,avera,90,US,1555802340,71,33.19,-82.53,55.4,9.17
177,port-cartier,90,CA,1555801200,69,50.03,-66.88,39.2,2.24
178,xining,78,CN,1555802668,58,36.62,101.77,42.09,1.39
179,beringovskiy,37,RU,1555802346,77,63.05,179.32,16.6,7.23
180,zyryanka,99,RU,1555802351,90,65.73,150.89,23.5,8.72
181,gdynia,0,PL,1555802451,52,54.52,18.54,43.0,3.36
182,sfantu gheorghe,0,RO,1555801233,86,44.65,26.83,46.99,5.82
183,khatanga,100,RU,1555802340,89,71.98,102.47,0.47,6.2
184,nauen,0,DE,1555802536,50,52.61,12.88,55.0,4.7
185,waingapu,94,ID,1555802669,79,-9.65,120.26,79.6,11.68
186,durban,0,FR,1555802525,47,43.54,0.58,59.0,5.82
187,muros,0,ES,1555802667,66,42.77,-9.06,66.0,10.29
188,suez,0,EG,1555802669,60,29.97,32.54,57.71,9.75
189,norman wells,75,CA,1555797600,60,65.28,-126.83,41.0,9.17
190,karratha,100,AU,1555802338,20,-20.74,116.85,75.59,21.63
191,brownsville,1,US,1555802456,44,25.91,-97.49,82.4,18.34
192,mandalgovi,40,MN,1555802670,41,45.76,106.27,47.42,2.33
193,thompson,40,CA,1555797600,55,55.74,-97.86,35.6,9.17
194,mahebourg,45,MU,1555802043,85,-20.41,57.7,79.0,5.99
195,solnechnyy,100,RU,1555802670,70,50.72,136.64,39.71,4.65
196,tezu,98,IN,1555802670,55,27.93,96.16,67.27,2.93
197,georgetown,40,GY,1555797600,69,6.8,-58.16,82.4,11.41
198,bathsheba,40,BB,1555797600,74,13.22,-59.52,80.6,19.46
199,tuatapere,6,NZ,1555801805,95,-46.13,167.69,52.0,7.2
200,whitianga,2,NZ,1555802412,68,-36.83,175.7,73.0,3.0
201,vila velha,20,BR,1555802302,88,-3.71,-38.6,79.0,3.36
202,tias,20,ES,1555801200,72,28.96,-13.65,64.4,9.17
203,novyy urengoy,43,RU,1555802670,98,66.08,76.63,2.17,7.74
204,chino valley,1,US,1555802595,19,34.76,-112.45,80.01,17.22
205,gao,1,ML,1555802344,7,16.28,-0.04,88.71,9.24
206,luna,6,PH,1555802671,76,16.85,120.38,83.85,4.38
207,ondo,100,NG,1555802671,93,7.1,4.83,76.27,2.04
208,souillac,0,FR,1555802289,71,45.6,-0.6,60.01,11.41
209,ilhabela,0,BR,1555802227,70,-23.78,-45.36,78.49,9.31
210,nchelenge,100,ZM,1555802671,89,-9.35,28.74,70.21,8.34
211,lebu,97,ET,1555802328,80,8.96,38.73,59.6,3.58
212,ust-ilimsk,75,RU,1555802671,76,57.96,102.73,25.62,4.03
213,hualmay,41,PE,1555802671,90,-11.1,-77.61,69.11,15.19
214,fairbanks,75,US,1555802182,33,64.84,-147.72,46.4,4.7
215,price,75,US,1555802344,20,39.6,-110.81,68.0,16.11
216,ust-tsilma,100,RU,1555802672,90,65.44,52.15,34.3,10.02
217,komsomolskiy,100,RU,1555802358,95,67.55,63.78,29.83,12.82
218,simao,0,CN,1555802672,42,22.76,100.79,66.23,1.43
219,ewo,95,CG,1555802672,86,-0.88,14.81,74.26,4.94
220,katherine,32,AU,1555799400,78,-14.47,132.26,73.4,4.7
221,rakaia,98,NZ,1555802584,93,-43.76,172.02,57.99,13.87
222,saint anthony,20,US,1555802447,25,43.97,-111.68,66.99,12.75
223,port lincoln,3,AU,1555802672,67,-34.72,135.86,61.53,15.43
224,cayenne,75,GF,1555799400,83,4.94,-52.33,78.8,4.7
225,tilichiki,81,RU,1555802673,65,60.47,166.1,36.74,9.53
226,nome,1,US,1555802359,25,30.04,-94.42,79.0,4.7
227,lagos,100,NG,1555802315,77,6.46,3.39,82.79,7.81
228,suratgarh,0,IN,1555802673,27,29.32,73.9,83.15,5.82
229,port macquarie,90,AU,1555801805,100,-31.43,152.91,69.01,5.82
230,namibe,39,AO,1555802321,76,-15.19,12.15,73.27,9.51
231,neiafu,40,TO,1555797600,69,-18.65,-173.98,80.6,8.05
232,manohar thana,0,IN,1555802673,26,24.24,76.8,81.92,1.3
233,torbay,90,CA,1555802217,100,47.66,-52.73,37.99,8.05
234,pevek,100,RU,1555802326,90,69.7,170.27,12.93,12.53
235,golden,40,CA,1555801200,26,51.3,-116.96,57.2,6.93
236,mehamn,0,NO,1555797000,81,71.03,27.85,42.8,17.22
237,faanui,2,PF,1555802343,70,-16.48,-151.75,84.35,6.13
238,moerai,2,PF,1555802674,67,-22.43,-151.33,75.16,16.78
239,nhamunda,68,BR,1555802674,95,-2.19,-56.71,76.02,1.52
240,vostok,68,RU,1555802674,36,46.45,135.83,46.03,7.67
241,hirara,75,JP,1555797600,100,24.8,125.28,77.0,2.24
242,laramie,40,US,1555802318,14,41.31,-105.59,75.2,12.75
243,coro,49,VE,1555802674,76,11.41,-69.67,80.92,25.9
244,atar,0,MR,1555802382,17,20.52,-13.05,81.64,10.2
245,tura,5,IN,1555802675,49,25.52,90.21,74.8,4.21
246,rio grande,0,BR,1555796700,83,-32.03,-52.1,69.8,8.05
247,port keats,23,AU,1555802675,50,-14.25,129.55,84.16,9.13
248,guerrero negro,7,MX,1555802308,85,27.97,-114.04,60.22,15.82
249,yulara,40,AU,1555797600,47,-25.24,130.99,57.2,10.29
